topic_id	tweet_id	tweet_url	tweet_text	claim	check_worthiness
covid-19	1234964653014384644	https://twitter.com/EricTrump/status/1234964653014384644	Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States	1	1
covid-19	1234869939720216578	https://twitter.com/RealJamesWoods/status/1234869939720216578	Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg	0	0
covid-19	1234873136304267267	https://twitter.com/hayxsmith/status/1234873136304267267	"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful."	0	0
covid-19	1235071285027147776	https://twitter.com/ipspankajnain/status/1235071285027147776	Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!	1	0
covid-19	1234911110861594624	https://twitter.com/PressSec/status/1234911110861594624	President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.	1	1
covid-19	1234685467682979840	https://twitter.com/into_the_brush/status/1234685467682979840	I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.	1	0
covid-19	1235024875279933440	https://twitter.com/othatsraspberry/status/1235024875279933440	"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip"	0	0
covid-19	1235083359501430789	https://twitter.com/narendramodi/status/1235083359501430789	Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.	1	0
covid-19	1235219248903073800	https://twitter.com/indemtel/status/1235219248903073800	Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus	1	0
covid-19	1234979421464879105	https://twitter.com/tedlieu/status/1234979421464879105	Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>	1	1
covid-19	1235185048078278657	https://twitter.com/urstrulyMahesh/status/1235185048078278657	Safety always comes first. Do not panic and stay safe. #CoronaAlert <link>	0	0
covid-19	1234916336393969667	https://twitter.com/FridaGhitis/status/1234916336393969667	Countries with largest numbers of #coronavirus diagnoses  1. China 2. South Korea 3. Italy 4. Iran 5, Japan 6. France 7. Germany 8. Spain 9. Singapore 10. USA	1	0
covid-19	1234616723615166465	https://twitter.com/RyutaroUchiyama/status/1234616723615166465	I'm stunned by the depth of #coronavirus information being released in #Singapore. On this website you can see every known infection case, where the person lives and works, which hospital they got admitted to, and the network topology of carriers, all laid out on a time-series <link>	1	0
covid-19	1235351764737675264	https://twitter.com/realDonaldTrump/status/1235351764737675264	Thank you, keep up the great work!	0	0
covid-19	1235149229179404289	https://twitter.com/AJEnglish/status/1235149229179404289	The new #coronavirus has killed about 3.4% of confirmed cases globally - making it deadlier than the flu, but still containable.   The seasonal flu's fatality rate is below 1% https://aje.io/gysap	1	0
covid-19	1234650511636410368	https://twitter.com/trusssssmidaddy/status/1234650511636410368	Nigeria being able to handle Ebola and Corona virus effectively just lets you know that the incompetence in everything else is on purpose	0	0
covid-19	1234634259912155137	https://twitter.com/NYGovCuomo/status/1234634259912155137	BREAKING: I am announcing a new directive requiring NY health insurers to waive cost sharing associated with testing for #coronavirus, including emergency room, urgent care and office visits.  We can't let cost be a barrier to access to COVID-19 testing for any New Yorker.	1	0
covid-19	1234831345777627138	https://twitter.com/sincerelykiimss/status/1234831345777627138	Now they want to clean	0	0
covid-19	1235210250812305408	https://twitter.com/NTarnopolsky/status/1235210250812305408	Netanyahu announcing Israel's new extreme measures against #corona. Orders Israelis to stop shaking hands, suggests following Indian custom of namaste instead. 🙏🏽 <link>	1	0
covid-19	1235239113298759680	https://twitter.com/matthewstoller/status/1235239113298759680	Just spoke with ER doc who say he's seeing cases he's 99% sure are #coronavirus. Negative for flu, recent travel, work in airports. Not allowed to test. Patients return to work because they can't take time off w/out a firm diagnosis. Other ER docs seeing the same thing.	1	1
covid-19	1235265562990637056	https://twitter.com/vivekagnihotri/status/1235265562990637056	Slowly, all Hindu traditions will be accepted by the world. Yoga is already in. Need for family system & vegetarianism is dire, Universal Acceptance to fight terrorism, polytheism to fight hate & bigotry of the communists.  The time for unscientific Abrahamic principles is over.<link>	0	0
covid-19	1234835892159877121	https://twitter.com/RepDougCollins/status/1234835892159877121	Congress should NOT tie emergency #coronavirus funding with #FISA reauthorization.   We MUST reform our FISA system to restore the American people’s confidence in our justice system and ensure what happened to  @realDonaldTrump  and his campaign in 2016 NEVER happens again.<link>	0	0
covid-19	1235037111239077889	https://twitter.com/ChinaDaily/status/1235037111239077889	#EXO members #Chanyeol, #Lay, #Suho and #Kai have donated a combined 170 million won to Korea Disaster Relief Association Hope Bridge to help fight the #coronavirus outbreak. #COVID19  @weareoneEXO  @layzhang  #찬열 #ZhangYixing #수호 #엑소	1	1
covid-19	1235001112735944705	https://twitter.com/tedlieu/status/1235001112735944705	Dear  @VP  Pence: What are you hiding from the American people? Why won’t you let the people see and hear what experts are saying about the #CoronaOutbreak?	0	0
covid-19	1234778537615212544	https://twitter.com/RahulGandhi/status/1234778537615212544	Dear  @PMOIndia ,  Quit wasting India's time playing the clown with your social media accounts, when India is facing an emergency. Focus the attention of every Indian on taking on the Corona virus challenge.   Here's how it's done..  #coronavirusindia	0	0
covid-19	1235197302333149185	https://twitter.com/HawleyMO/status/1235197302333149185	Hold on - #China Communist Party now denying #CoronavirusOutbreak originated in China? This after Beijing’s catastrophic mishandling of the virus has caused a global health crisis? What a collection of incompetent thugs & liars <link>	1	1
covid-19	1235166676309676032	https://twitter.com/nytimesworld/status/1235166676309676032	The World Health Organization confirmed that Covid-19 is deadlier than the seasonal flu, but does not transmit as easily. Read the latest updates on the coronavirus outbreak here.	1	1
covid-19	1235172654778167296	https://twitter.com/upasanakonidela/status/1235172654778167296	DO NOT PANIC !  Here’s all what you need to know &amp; do as a responsible citizen.DO NOT PANIC !  Here’s all what you need to know & do as a responsible citizen.  #coronavirusindia #Microbe  #covid2019  #CoronaAlert <link>	0	0
covid-19	1235409660104015873	https://twitter.com/atrupar/status/1235409660104015873	"Trump to Hannity on WHO saying coronavirus death rate is 3.4%: ""I think the 3.4% number is really a false number. Now this is just my hunch, but based on a lot of conversations ... personally, I'd say the number is way under 1%.""  Astoundingly irresponsible. <link>"	1	0
covid-19	1234933752498921473	https://twitter.com/tedlieu/status/1234933752498921473	Dear  @realDonaldTrump : Why are we still not testing at the scale we need to contain the #CoronavirusOutbreak?   Have you apologized yet for saying criticism of your Administration’s botched testing was a new hoax? <link>	0	0
covid-19	1235216569539551232	https://twitter.com/MayaKadosh/status/1235216569539551232	Thank you for the inspiration #India- from today all Israelis say #Shalom🇮🇱#Namaste🇮🇳	0	0
covid-19	1235234176414162944	https://twitter.com/tedlieu/status/1235234176414162944	If true, the  @StateDept  officials who denied coronavirus testing to exposed US embassy staff need to resign.   Also, a reminder that last week in  @HouseForeign  Committee,  @SecPompeo  refused 6 times to deny that #coronavirus is a hoax. <link>	0	0
covid-19	1234966189668995078	https://twitter.com/StormIsUponUs/status/1234966189668995078	A call to every Democrat running for president, or anywhere for that matter. Will you join President Trump in donating your quarterly salary toward fighting #CoronaVirus? Citizens would be very grateful. Thank you in advance.	0	0
covid-19	1235278295211618304	https://twitter.com/RepAdamSchiff/status/1235278295211618304	A State of Emergency has been declared for LA City and County due to confirmed cases of Coronavirus.  Angelenos need to be prepared, but not panicked. Listen to the advice of experts.  Make sure you're following  @CDCgov  and  @lapublichealth  for the latest info and recommendations. <link>	1	0
covid-19	1235043647038443523	https://twitter.com/FactcheckingCon/status/1235043647038443523	We are doomed.    #coronavirus #Covid_19 https://t.co/Pey8CNyCOT	0	0
covid-19	1234830346182709249	https://twitter.com/maryt465/status/1234830346182709249	@waltshaub Please repost this. It shares vital information and it's a class on how to lead during times of crisis  An excellent speech by Singapore’s Health Minister Mr. Gan Kim Yong.   An excellent way of describing #coronavirus #CoronaVirusUpdates	0	0
covid-19	1234887886354382849	https://twitter.com/B52Malmet/status/1234887886354382849	#B52Questions 1. Why is Rudy not under arrest? 2. Why is Harvey not in Riker’s? 3. Why is Cuccinelli still working? 4. Has Barr quit yet? 5. When is Flynn being sentenced? 6. Who trusts Pence and Mrs. Miller with messaging about #coronavirus ? 7. Are R’s happy w/their guy?	0	0
covid-19	1234872254883909642	https://twitter.com/WHO/status/1234872254883909642	Globally, about 3.4% of reported #COVID19 cases have died. By comparison, seasonal flu generally kills far fewer than 1% of those infected- @DrTedros  #coronavirus	1	0
covid-19	1235029940208205825	https://twitter.com/tedlieu/status/1235029940208205825	It is a fair question to ask whether the lack of testing is due to gross incompetence by the  @realDonaldTrump  Administration, or Trump’s stated desire to minimize the #CoronaOutbreak. Either way we now have severe consequences. And we cannot get those critical weeks back.	0	0
covid-19	1234980702103334914	https://twitter.com/LadyJYYC/status/1234980702103334914	Nothing to see here folks.   Only the  @GOP  stopping a corona virus bill because it doesn’t allow all of their big pharma pals to charge whatever they want for a lifesaving vaccine that hasn’t even been developed yet.   #OneVoice1 <link>	1	1
covid-19	1234911733111808007	https://twitter.com/svdate/status/1234911733111808007	To date, the president has spent $133.7 million of taxpayer money to play golf.  That is 334 years worth of presidential salary.	1	1
