1	Donald Trump	Well, thank you very much, everybody.
2	Donald Trump	We appreciate it.
3	Donald Trump	We're getting ready to go back.
4	Donald Trump	We had a tremendous 24 hours.
5	Donald Trump	We've had a tremendous three months, actually, because this has been going on for quite a while.
6	Donald Trump	That was a tape that we gave to Chairman Kim and his people, his representatives.
7	Donald Trump	And it captures a lot.
8	Donald Trump	It captures what could be done.
9	Donald Trump	And that's a great -- a great place.
10	Donald Trump	It has the potential to be an incredible place.
11	Donald Trump	Between South Korea -- if you think about it -- and China, it's got tremendous potential.
12	Donald Trump	And I think he understands that and he wants to do what's right.
13	Donald Trump	It's my honor today to address the people of the world, following this very historic summit with Chairman Kim Jong Un of North Korea.
14	Donald Trump	We spent very intensive hours together, and I think most of you have gotten the signed document, or you will very shortly.
15	Donald Trump	It's very comprehensive.
16	Donald Trump	It's going to happen.
17	Donald Trump	I stand before you as an emissary of the American people to deliver a message of hope and vision, and a message of peace.
18	Donald Trump	Let me begin by thanking our incredible hosts in Singapore, especially Prime Minister Lee, a friend of mine.
19	Donald Trump	This is a country of profound grace and beauty, and we send our warmest wishes to every citizen of Singapore, who really made this visit so important and so pleasant, despite all of the work and all of the long hours.
20	Donald Trump	I also want to thank President Moon of South Korea.
21	Donald Trump	He's working hard.
22	Donald Trump	In fact, I'll be speaking to him right after we're finished.
23	Donald Trump	Prime Minister Abe of Japan -- a friend of mine -- just left our country, and he wants what's right for Japan and for the world.
24	Donald Trump	He's a good man.
25	Donald Trump	And a very special person, President Xi of China, who has really closed up that border -- maybe a little bit less so over the last couple of months, but that's okay.
26	Donald Trump	But he really has.
27	Donald Trump	And he's a terrific person and a friend of mine, and really a great leader of his people.
28	Donald Trump	I want to thank them for their efforts to help us get to this very historic day.
29	Donald Trump	Most importantly, I want to thank Chairman Kim for taking the first bold step toward a bright new future for his people.
30	Donald Trump	Our unprecedented meeting -- the first between an American President and a leader of North Korea -- proves that real change is indeed possible.
31	Donald Trump	My meeting with Chairman Kim was honest, direct, and productive.
32	Donald Trump	We got to know each other well in a very confined period of time, under very strong, strong circumstance.
33	Donald Trump	We're prepared to start a new history and we're ready to write a new chapter between our nations.
34	Donald Trump	Nearly 70 years ago -- think of that; 70 years ago -- an extremely bloody conflict ravaged the Korean Peninsula.
35	Donald Trump	Countless people died in the conflict, including tens of thousands of brave Americans.
36	Donald Trump	Yet, while the armistice was agreed to, the war never ended.
37	Donald Trump	To this day, never ended.
38	Donald Trump	But now we can all have hope that it will soon end.
39	Donald Trump	And it will.
40	Donald Trump	It will soon end.
41	Donald Trump	The past does not have to define the future.
42	Donald Trump	Yesterday's conflict does not have to be tomorrow's war.
43	Donald Trump	And as history has proven over and over again, adversaries can indeed become friends.
44	Donald Trump	We can honor the sacrifice of our forefathers by replacing the horrors of battle with the blessings of peace.
45	Donald Trump	And that's what we're doing and that's what we have done.
